"date_month","leads","vendas","receita","conversao_percent","ticket_medio"
"2020-09-01","26","5","259290.00","19.23","51858.00"
"2020-10-01","931","35","1676456.85","3.76","47898.77"
"2020-11-01","1207","44","2278507.50","3.65","51784.26"
"2020-12-01","1008","33","2602768.69","3.27","78871.78"
"2021-01-01","1058","32","2297224.05","3.02","71788.25"
"2021-02-01","1300","68","3631095.90","5.23","53398.47"
"2021-03-01","1932","119","7911192.48","6.16","66480.61"
"2021-04-01","2376","142","7477555.92","5.98","52658.84"
"2021-05-01","3819","394","21508476.48","10.32","54590.04"
"2021-06-01","4440","589","33179246.64","13.27","56331.49"
"2021-07-01","6130","1073","58987786.49","17.50","54974.64"
"2021-08-01","6353","1254","68274090.23","19.74","54445.05"
